FT	ID	AT	WT	ST
13	1	7	0	6
15	2	9	0	6
17	3	9	0	8
19	4	12	0	7
25	10	19	0	6
25	9	19	0	6
25	8	19	0	6
25	5	19	0	6
25	6	19	0	6
26	7	19	0	7
26	11	19	0	7
26	14	19	0	7
27	16	19	0	8
31	26	25	0	6
31	25	25	0	6
31	21	25	0	6
31	12	19	6	6
31	13	19	6	6
33	17	19	7	7
33	15	19	7	7
33	18	25	1	7
35	20	25	2	8
37	22	25	6	6
37	27	25	6	6
40	19	25	8	7
40	23	25	8	7
43	24	25	11	7
50	28	25	18	7
67	29	60	0	7
78	30	70	0	8
86	31	80	0	6
97	32	90	0	7
97	33	90	0	7
101	34	95	0	6
101	36	95	0	6
102	37	95	0	7
103	35	95	0	8
106	40	100	0	6
106	38	100	0	6
106	39	100	0	6
107	41	100	0	7
Orders: 41	[Norm:9, Veg:15, VIP:17]
Cooks: 9	[Norm5, Veg:3, VIP:1]
Avg Wait = 2.09756, Avg Serv = 6.63415
Auto-promoted: 5
