FT	ID	AT	WT	ST
9	1	7	0	2
11	2	9	0	2
15	3	9	0	6
15	4	12	0	3
21	5	19	0	2
28	6	25	0	3
28	7	26	0	2
29	8	27	0	2
31	10	29	0	2
32	11	30	0	2
33	12	31	0	2
34	9	28	0	6
35	13	32	0	3
35	14	33	0	2
36	15	34	0	2
38	17	36	0	2
39	18	37	0	2
40	19	38	0	2
41	16	35	0	6
41	20	39	0	2
43	21	40	0	3
43	22	41	0	2
44	23	42	0	2
45	24	43	0	2
46	25	44	0	2
47	26	45	0	2
48	27	46	0	2
50	28	47	0	3
50	29	48	0	2
51	30	49	0	2
52	31	50	0	2
53	32	51	0	2
54	33	52	0	2
55	34	53	0	2
56	35	54	0	2
Orders: 35	[Norm:21, Veg:5, VIP:9]
Cooks: 9	[Norm5, Veg:3, VIP:1]
Avg Wait = 0, Avg Serv = 2
Auto-promoted: 0
